month,total.user,total.name-bot,total.group-bot,total.anonymous,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,1859,113,48,6,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,2478,124,203,18,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
