month,total.user,total.name-bot,total.group-bot,total.anonymous,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,2322,0,210,62,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,3286,0,45,32,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
