month,total.user,total.name-bot,total.group-bot,total.anonymous,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,8450,322,0,134,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,17327,178,0,132,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
