month,total.name-bot,total.anonymous,total.group-bot,total.user,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,42,104,48,11058,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,42,105,48,11099,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
