month,total.name-bot,total.anonymous,total.group-bot,total.user,timeRange.start,timeRange.end
2001-01-01T00:00:00.000Z,0,5,0,23,2001-01-01T00:00:00.000Z,2001-02-01T00:00:00.000Z
2001-02-01T00:00:00.000Z,0,6,0,45,2001-02-01T00:00:00.000Z,2001-03-01T00:00:00.000Z
2001-03-01T00:00:00.000Z,0,30,0,97,2001-03-01T00:00:00.000Z,2001-04-01T00:00:00.000Z
2001-04-01T00:00:00.000Z,0,42,0,130,2001-04-01T00:00:00.000Z,2001-05-01T00:00:00.000Z
2001-05-01T00:00:00.000Z,0,62,0,167,2001-05-01T00:00:00.000Z,2001-06-01T00:00:00.000Z
2001-06-01T00:00:00.000Z,0,94,0,229,2001-06-01T00:00:00.000Z,2001-07-01T00:00:00.000Z
2001-07-01T00:00:00.000Z,0,138,0,354,2001-07-01T00:00:00.000Z,2001-08-01T00:00:00.000Z
2001-08-01T00:00:00.000Z,0,224,0,629,2001-08-01T00:00:00.000Z,2001-09-01T00:00:00.000Z
2001-09-01T00:00:00.000Z,0,378,0,1012,2001-09-01T00:00:00.000Z,2001-10-01T00:00:00.000Z
2001-10-01T00:00:00.000Z,0,601,0,1479,2001-10-01T00:00:00.000Z,2001-11-01T00:00:00.000Z
2001-11-01T00:00:00.000Z,0,757,0,1966,2001-11-01T00:00:00.000Z,2001-12-01T00:00:00.000Z
2001-12-01T00:00:00.000Z,0,907,0,2362,2001-12-01T00:00:00.000Z,2002-01-01T00:00:00.000Z
2002-01-01T00:00:00.000Z,1,1003,0,2616,2002-01-01T00:00:00.000Z,2002-02-01T00:00:00.000Z
2002-02-01T00:00:00.000Z,1,1139,0,3690,2002-02-01T00:00:00.000Z,2002-03-01T00:00:00.000Z
2002-03-01T00:00:00.000Z,1,1318,0,4172,2002-03-01T00:00:00.000Z,2002-04-01T00:00:00.000Z
2002-04-01T00:00:00.000Z,1,1434,0,4624,2002-04-01T00:00:00.000Z,2002-05-01T00:00:00.000Z
2002-05-01T00:00:00.000Z,1,1476,0,4855,2002-05-01T00:00:00.000Z,2002-06-01T00:00:00.000Z
2002-06-01T00:00:00.000Z,1,1609,0,5319,2002-06-01T00:00:00.000Z,2002-07-01T00:00:00.000Z
2002-07-01T00:00:00.000Z,1,1709,0,5925,2002-07-01T00:00:00.000Z,2002-08-01T00:00:00.000Z
2002-08-01T00:00:00.000Z,1,1876,0,7093,2002-08-01T00:00:00.000Z,2002-09-01T00:00:00.000Z
2002-09-01T00:00:00.000Z,1,2093,0,8924,2002-09-01T00:00:00.000Z,2002-10-01T00:00:00.000Z
2002-10-01T00:00:00.000Z,1,2354,0,11236,2002-10-01T00:00:00.000Z,2002-11-01T00:00:00.000Z
2002-11-01T00:00:00.000Z,2,2590,0,12186,2002-11-01T00:00:00.000Z,2002-12-01T00:00:00.000Z
2002-12-01T00:00:00.000Z,4,2829,0,13398,2002-12-01T00:00:00.000Z,2003-01-01T00:00:00.000Z
2003-01-01T00:00:00.000Z,4,3167,0,15196,2003-01-01T00:00:00.000Z,2003-02-01T00:00:00.000Z
2003-02-01T00:00:00.000Z,4,3394,0,16810,2003-02-01T00:00:00.000Z,2003-03-01T00:00:00.000Z
2003-03-01T00:00:00.000Z,4,3621,0,18410,2003-03-01T00:00:00.000Z,2003-04-01T00:00:00.000Z
2003-04-01T00:00:00.000Z,4,3898,0,19855,2003-04-01T00:00:00.000Z,2003-05-01T00:00:00.000Z
2003-05-01T00:00:00.000Z,4,4139,0,21758,2003-05-01T00:00:00.000Z,2003-06-01T00:00:00.000Z
2003-06-01T00:00:00.000Z,4,4409,0,23885,2003-06-01T00:00:00.000Z,2003-07-01T00:00:00.000Z
2003-07-01T00:00:00.000Z,3811,4746,0,26276,2003-07-01T00:00:00.000Z,2003-08-01T00:00:00.000Z
2003-08-01T00:00:00.000Z,3811,5128,0,28754,2003-08-01T00:00:00.000Z,2003-09-01T00:00:00.000Z
2003-09-01T00:00:00.000Z,3812,5582,0,30926,2003-09-01T00:00:00.000Z,2003-10-01T00:00:00.000Z
2003-10-01T00:00:00.000Z,3812,5989,0,33144,2003-10-01T00:00:00.000Z,2003-11-01T00:00:00.000Z
2003-11-01T00:00:00.000Z,3812,6399,0,36073,2003-11-01T00:00:00.000Z,2003-12-01T00:00:00.000Z
2003-12-01T00:00:00.000Z,3815,6824,26,39324,2003-12-01T00:00:00.000Z,2004-01-01T00:00:00.000Z
2004-01-01T00:00:00.000Z,3815,7261,26,43099,2004-01-01T00:00:00.000Z,2004-02-01T00:00:00.000Z
2004-02-01T00:00:00.000Z,3815,7904,27,49049,2004-02-01T00:00:00.000Z,2004-03-01T00:00:00.000Z
