month,total.user,total.name-bot,total.group-bot,total.anonymous,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,3509,0,40028,59,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,2987,0,3231,33,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
