month,total.name-bot,total.anonymous,total.group-bot,total.user,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,0,6359,34558,67833,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,0,6370,34558,68645,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
