month,total.name-bot,total.anonymous,total.group-bot,total.user,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,1380397,10200,2710918,1723355,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,1380399,10246,2735344,1725872,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
