month,total.user,total.name-bot,total.group-bot,total.anonymous,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,35541,622,251378,14296,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,38693,4,30163,17144,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
