month,total.name-bot,total.anonymous,total.group-bot,total.user,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,68380,13188,58843,442773,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,68404,13201,58970,444140,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
