month,total.name-bot,total.anonymous,total.group-bot,total.user,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,37223,2781,48,49034,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,37223,2793,48,49111,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
