month,total.user,total.name-bot,total.group-bot,total.anonymous,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,3738,11,9911,1416,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,3923,7,12819,2590,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
