month,total.user,total.name-bot,total.group-bot,total.anonymous,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,178,12,3,9,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,448,37,7,8,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
