month,total.name-bot,total.anonymous,total.group-bot,total.user,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,4099,4194,19540,163778,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,4099,4197,19540,164535,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
