month,total.user,total.name-bot,total.group-bot,total.anonymous,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,55,0,2,3,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,369,3,4,6,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
