month,total.user,total.name-bot,total.group-bot,total.anonymous,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,84997,102,24589,32613,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,84676,247,30798,23235,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
