month,total.user,total.name-bot,total.group-bot,total.anonymous,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,1923,1,0,9,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,1516,2,0,6,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
