month,total.user,total.name-bot,total.group-bot,total.anonymous,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,21617,0,308,6567,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,25294,2,198,5382,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
