month,total.name-bot,total.anonymous,total.group-bot,total.user,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,17547,10509,107440,599928,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,17547,10539,107522,601220,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
