month,total.user,total.name-bot,total.group-bot,total.anonymous,timeRange.start,timeRange.end
2023-06-01T00:00:00.000Z,36983,230,7655,3701,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,44497,139,13526,2682,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
